timestamp,measured_GHI,measured_DNI,clear-sky_GHI,clear-sky_DNI,zenith_angle,pred_GHI_comb,pred_DNI_comb
2024-01-01 00:00:00,45,0,89,492,83.079,49,31
2024-01-01 00:15:00,24,0,51,364,85.561,28,23
2024-01-01 00:30:00,10,0,17,157,88.112,15,124
2024-01-01 00:45:00,0,0,0,0,90.724,,
2024-01-01 01:00:00,0,0,0,0,93.392,,
2024-01-01 01:15:00,0,0,0,0,96.111,,
2024-01-01 01:30:00,0,0,0,0,98.875,,
2024-01-01 01:45:00,0,0,0,0,101.679,,
2024-01-01 02:00:00,0,0,0,0,104.521,,
2024-01-01 02:15:00,0,0,0,0,107.395,,
2024-01-01 02:30:00,0,0,0,0,110.298,,
2024-01-01 02:45:00,0,0,0,0,113.226,,
2024-01-01 03:00:00,0,0,0,0,116.177,,
2024-01-01 03:15:00,0,0,0,0,119.145,,
2024-01-01 03:30:00,0,0,0,0,122.129,,
2024-01-01 03:45:00,0,0,0,0,125.125,,
2024-01-01 04:00:00,0,0,0,0,128.128,,
2024-01-01 04:15:00,0,0,0,0,131.135,,
2024-01-01 04:30:00,0,0,0,0,134.143,,
2024-01-01 04:45:00,0,0,0,0,137.145,,
2024-01-01 05:00:00,0,0,0,0,140.136,,
2024-01-01 05:15:00,0,0,0,0,143.108,,
2024-01-01 05:30:00,0,0,0,0,146.052,,
2024-01-01 05:45:00,0,0,0,0,148.957,,
2024-01-01 06:00:00,0,0,0,0,151.805,,
2024-01-01 06:15:00,0,0,0,0,154.573,,
2024-01-01 06:30:00,0,0,0,0,157.23,,
2024-01-01 06:45:00,0,0,0,0,159.726,,
2024-01-01 07:00:00,0,0,0,0,161.991,,
2024-01-01 07:15:00,0,0,0,0,163.926,,
2024-01-01 07:30:00,0,0,0,0,165.395,,
2024-01-01 07:45:00,0,0,0,0,166.247,,
2024-01-01 08:00:00,0,0,0,0,166.364,,
2024-01-01 08:15:00,0,0,0,0,165.728,,
2024-01-01 08:30:00,0,0,0,0,164.432,,
2024-01-01 08:45:00,0,0,0,0,162.624,,
2024-01-01 09:00:00,0,0,0,0,160.447,,
2024-01-01 09:15:00,0,0,0,0,158.012,,
2024-01-01 09:30:00,0,0,0,0,155.399,,
2024-01-01 09:45:00,0,0,0,0,152.66,,
2024-01-01 10:00:00,0,0,0,0,149.833,,
2024-01-01 10:15:00,0,0,0,0,146.944,,
2024-01-01 10:30:00,0,0,0,0,144.01,,
2024-01-01 10:45:00,0,0,0,0,141.044,,
2024-01-01 11:00:00,0,0,0,0,138.057,,
2024-01-01 11:15:00,0,0,0,0,135.057,,
2024-01-01 11:30:00,0,0,0,0,132.05,,
2024-01-01 11:45:00,0,0,0,0,129.042,,
2024-01-01 12:00:00,0,0,0,0,126.036,,
2024-01-01 12:15:00,0,0,0,0,123.037,,
2024-01-01 12:30:00,0,0,0,0,120.048,,
2024-01-01 12:45:00,0,0,0,0,117.073,,
2024-01-01 13:00:00,0,0,0,0,114.116,,
2024-01-01 13:15:00,0,0,0,0,111.179,,
2024-01-01 13:30:00,0,0,0,0,108.266,,
2024-01-01 13:45:00,0,0,0,0,105.382,,
2024-01-01 14:00:00,0,0,0,0,102.528,,
2024-01-01 14:15:00,0,0,0,0,99.71,,
2024-01-01 14:30:00,0,0,0,0,96.931,,
2024-01-01 14:45:00,0,0,0,0,94.196,,
2024-01-01 15:00:00,0,0,0,0,91.51,,
2024-01-01 15:15:00,9,60,22,249,88.878,19,196
2024-01-01 15:30:00,33,358,53,403,86.306,47,317
2024-01-01 15:45:00,8,0,92,522,83.8,81,411
2024-01-01 16:00:00,95,413,133,608,81.366,25,38
2024-01-01 16:15:00,175,673,175,673,79.012,129,463
2024-01-01 16:30:00,188,733,217,724,76.746,214,712
2024-01-01 16:45:00,259,769,259,769,74.576,225,765
2024-01-01 17:00:00,298,802,298,802,72.511,294,788
2024-01-01 17:15:00,313,844,337,834,70.562,332,820
2024-01-01 17:30:00,347,868,372,857,68.738,343,852
2024-01-01 17:45:00,379,890,405,887,67.05,375,883
2024-01-01 18:00:00,410,905,434,901,65.508,403,889
2024-01-01 18:15:00,438,920,460,914,64.124,431,902
2024-01-01 18:30:00,464,935,483,924,62.908,456,914
2024-01-01 18:45:00,487,945,502,932,61.87,477,927
2024-01-01 19:00:00,507,951,517,939,61.019,496,935
2024-01-01 19:15:00,528,955,529,943,60.365,512,938
2024-01-01 19:30:00,548,958,537,946,59.912,528,941
2024-01-01 19:45:00,570,960,541,949,59.666,543,944
2024-01-01 20:00:00,585,935,541,949,59.63,558,943
2024-01-01 20:15:00,550,815,537,948,59.803,567,919
2024-01-01 20:30:00,361,406,530,945,60.184,533,807
2024-01-01 20:45:00,487,674,517,926,60.769,365,424
2024-01-01 21:00:00,462,632,501,919,61.552,468,673
2024-01-01 21:15:00,490,705,482,911,62.526,442,634
2024-01-01 21:30:00,324,337,460,901,63.681,460,698
2024-01-01 21:45:00,392,567,434,890,65.008,315,362
2024-01-01 22:00:00,410,815,405,874,66.496,365,567
2024-01-01 22:15:00,355,815,372,855,68.135,370,787
2024-01-01 22:30:00,327,819,337,833,69.913,318,783
2024-01-01 22:45:00,301,810,301,810,71.82,289,784
2024-01-01 23:00:00,262,779,262,779,73.846,258,766
2024-01-01 23:15:00,205,769,220,738,75.98,217,726
2024-01-01 23:30:00,165,724,178,686,78.214,165,701
2024-01-01 23:45:00,135,620,135,620,80.538,124,641
2024-01-02 00:00:00,87,573,93,535,82.945,92,526
2024-01-02 00:15:00,52,456,55,419,85.427,51,439
2024-01-02 00:30:00,19,278,23,259,87.977,20,204
2024-01-02 00:45:00,0,0,0,0,90.589,,
2024-01-02 01:00:00,0,0,0,0,93.257,,
2024-01-02 01:15:00,0,0,0,0,95.975,,
2024-01-02 01:30:00,0,0,0,0,98.739,,
2024-01-02 01:45:00,0,0,0,0,101.544,,
2024-01-02 02:00:00,0,0,0,0,104.386,,
2024-01-02 02:15:00,0,0,0,0,107.26,,
2024-01-02 02:30:00,0,0,0,0,110.163,,
2024-01-02 02:45:00,0,0,0,0,113.091,,
2024-01-02 03:00:00,0,0,0,0,116.042,,
2024-01-02 03:15:00,0,0,0,0,119.01,,
2024-01-02 03:30:00,0,0,0,0,121.994,,
2024-01-02 03:45:00,0,0,0,0,124.99,,
2024-01-02 04:00:00,0,0,0,0,127.993,,
2024-01-02 04:15:00,0,0,0,0,131.001,,
2024-01-02 04:30:00,0,0,0,0,134.008,,
2024-01-02 04:45:00,0,0,0,0,137.01,,
2024-01-02 05:00:00,0,0,0,0,140.001,,
2024-01-02 05:15:00,0,0,0,0,142.973,,
2024-01-02 05:30:00,0,0,0,0,145.917,,
2024-01-02 05:45:00,0,0,0,0,148.821,,
2024-01-02 06:00:00,0,0,0,0,151.669,,
2024-01-02 06:15:00,0,0,0,0,154.437,,
2024-01-02 06:30:00,0,0,0,0,157.094,,
2024-01-02 06:45:00,0,0,0,0,159.591,,
2024-01-02 07:00:00,0,0,0,0,161.859,,
2024-01-02 07:15:00,0,0,0,0,163.8,,
2024-01-02 07:30:00,0,0,0,0,165.28,,
2024-01-02 07:45:00,0,0,0,0,166.149,,
2024-01-02 08:00:00,0,0,0,0,166.289,,
2024-01-02 08:15:00,0,0,0,0,165.679,,
2024-01-02 08:30:00,0,0,0,0,164.407,,
2024-01-02 08:45:00,0,0,0,0,162.619,,
2024-01-02 09:00:00,0,0,0,0,160.457,,
2024-01-02 09:15:00,0,0,0,0,158.035,,
2024-01-02 09:30:00,0,0,0,0,155.43,,
2024-01-02 09:45:00,0,0,0,0,152.698,,
2024-01-02 10:00:00,0,0,0,0,149.876,,
2024-01-02 10:15:00,0,0,0,0,146.99,,
2024-01-02 10:30:00,0,0,0,0,144.058,,
2024-01-02 10:45:00,0,0,0,0,141.095,,
2024-01-02 11:00:00,0,0,0,0,138.109,,
2024-01-02 11:15:00,0,0,0,0,135.11,,
2024-01-02 11:30:00,0,0,0,0,132.103,,
2024-01-02 11:45:00,0,0,0,0,129.095,,
2024-01-02 12:00:00,0,0,0,0,126.088,,
2024-01-02 12:15:00,0,0,0,0,123.088,,
2024-01-02 12:30:00,0,0,0,0,120.099,,
2024-01-02 12:45:00,0,0,0,0,117.123,,
2024-01-02 13:00:00,0,0,0,0,114.164,,
2024-01-02 13:15:00,0,0,0,0,111.226,,
2024-01-02 13:30:00,0,0,0,0,108.311,,
2024-01-02 13:45:00,0,0,0,0,105.424,,
2024-01-02 14:00:00,0,0,0,0,102.569,,
2024-01-02 14:15:00,0,0,0,0,99.748,,
2024-01-02 14:30:00,0,0,0,0,96.966,,
2024-01-02 14:45:00,0,0,0,0,94.229,,
2024-01-02 15:00:00,0,0,0,0,91.539,,
2024-01-02 15:15:00,9,180,24,325,88.904,21,256
2024-01-02 15:30:00,32,422,57,480,86.328,50,378
2024-01-02 15:45:00,64,14,97,590,83.817,85,464
2024-01-02 16:00:00,106,242,140,672,81.379,96,57
2024-01-02 16:15:00,183,735,183,735,79.02,141,290
2024-01-02 16:30:00,196,790,226,784,76.749,223,771
2024-01-02 16:45:00,267,816,267,816,74.574,232,808
2024-01-02 17:00:00,306,845,306,845,72.504,301,831
2024-01-02 17:15:00,333,896,344,871,70.549,339,856
2024-01-02 17:30:00,360,883,380,893,68.719,364,902
