timestamp,measured_GHI,measured_DNI,clear-sky_GHI,clear-sky_DNI,zenith_angle,pred_GHI_comb,pred_DNI_comb
2024-01-01 00:00:00,0,0,0,0,96.084,,
2024-01-01 00:15:00,0,0,0,0,98.308,,
2024-01-01 00:30:00,0,0,0,0,100.581,,
2024-01-01 00:45:00,0,0,0,0,102.898,,
2024-01-01 01:00:00,0,0,0,0,105.255,,
2024-01-01 01:15:00,0,0,0,0,107.646,,
2024-01-01 01:30:00,0,0,0,0,110.066,,
2024-01-01 01:45:00,0,0,0,0,112.511,,
2024-01-01 02:00:00,0,0,0,0,114.976,,
2024-01-01 02:15:00,0,0,0,0,117.455,,
2024-01-01 02:30:00,0,0,0,0,119.943,,
2024-01-01 02:45:00,0,0,0,0,122.436,,
2024-01-01 03:00:00,0,0,0,0,124.926,,
2024-01-01 03:15:00,0,0,0,0,127.408,,
2024-01-01 03:30:00,0,0,0,0,129.875,,
2024-01-01 03:45:00,0,0,0,0,132.318,,
2024-01-01 04:00:00,0,0,0,0,134.728,,
2024-01-01 04:15:00,0,0,0,0,137.095,,
2024-01-01 04:30:00,0,0,0,0,139.406,,
2024-01-01 04:45:00,0,0,0,0,141.646,,
2024-01-01 05:00:00,0,0,0,0,143.799,,
2024-01-01 05:15:00,0,0,0,0,145.843,,
2024-01-01 05:30:00,0,0,0,0,147.753,,
2024-01-01 05:45:00,0,0,0,0,149.503,,
2024-01-01 06:00:00,0,0,0,0,151.058,,
2024-01-01 06:15:00,0,0,0,0,152.384,,
2024-01-01 06:30:00,0,0,0,0,153.443,,
2024-01-01 06:45:00,0,0,0,0,154.203,,
2024-01-01 07:00:00,0,0,0,0,154.633,,
2024-01-01 07:15:00,0,0,0,0,154.717,,
2024-01-01 07:30:00,0,0,0,0,154.451,,
2024-01-01 07:45:00,0,0,0,0,153.846,,
2024-01-01 08:00:00,0,0,0,0,152.926,,
2024-01-01 08:15:00,0,0,0,0,151.723,,
2024-01-01 08:30:00,0,0,0,0,150.273,,
2024-01-01 08:45:00,0,0,0,0,148.612,,
2024-01-01 09:00:00,0,0,0,0,146.774,,
2024-01-01 09:15:00,0,0,0,0,144.791,,
2024-01-01 09:30:00,0,0,0,0,142.687,,
2024-01-01 09:45:00,0,0,0,0,140.485,,
2024-01-01 10:00:00,0,0,0,0,138.206,,
2024-01-01 10:15:00,0,0,0,0,135.863,,
2024-01-01 10:30:00,0,0,0,0,133.472,,
2024-01-01 10:45:00,0,0,0,0,131.042,,
2024-01-01 11:00:00,0,0,0,0,128.585,,
2024-01-01 11:15:00,0,0,0,0,126.109,,
2024-01-01 11:30:00,0,0,0,0,123.621,,
2024-01-01 11:45:00,0,0,0,0,121.127,,
2024-01-01 12:00:00,0,0,0,0,118.635,,
2024-01-01 12:15:00,0,0,0,0,116.149,,
2024-01-01 12:30:00,0,0,0,0,113.676,,
2024-01-01 12:45:00,0,0,0,0,111.219,,
2024-01-01 13:00:00,0,0,0,0,108.785,,
2024-01-01 13:15:00,0,0,0,0,106.377,,
2024-01-01 13:30:00,0,0,0,0,104.002,,
2024-01-01 13:45:00,0,0,0,0,101.663,,
2024-01-01 14:00:00,0,0,0,0,99.366,,
2024-01-01 14:15:00,0,0,0,0,97.117,,
2024-01-01 14:30:00,0,0,0,0,94.919,,
2024-01-01 14:45:00,0,0,0,0,92.779,,
2024-01-01 15:00:00,0,0,0,0,90.703,,
2024-01-01 15:15:00,25,250,25,358,88.697,19,190
2024-01-01 15:30:00,49,399,49,472,86.766,38,251
2024-01-01 15:45:00,76,559,76,559,84.917,59,297
2024-01-01 16:00:00,93,608,105,627,83.156,102,602
2024-01-01 16:15:00,114,645,134,677,81.491,117,632
2024-01-01 16:30:00,139,690,161,713,79.928,135,654
2024-01-01 16:45:00,162,732,188,738,78.475,160,687
2024-01-01 17:00:00,189,770,213,767,77.137,181,731
2024-01-01 17:15:00,211,794,234,782,75.923,204,754
2024-01-01 17:30:00,254,801,254,801,74.838,225,781
2024-01-01 17:45:00,273,807,273,807,73.888,265,775
2024-01-01 18:00:00,271,838,288,819,73.08,280,787
2024-01-01 18:15:00,283,845,300,827,72.418,276,812
2024-01-01 18:30:00,291,761,308,830,71.908,284,814
2024-01-01 18:45:00,278,731,314,831,71.551,290,735
2024-01-01 19:00:00,296,769,318,833,71.351,277,708
