timestamp,measured_GHI,measured_DNI,clear-sky_GHI,clear-sky_DNI,zenith_angle,pred_GHI_comb,pred_DNI_comb
2024-01-01 00:00:00,0,0,0,0,100.784,,
2024-01-01 00:15:00,0,0,0,0,103.701,,
2024-01-01 00:30:00,0,0,0,0,106.649,,
2024-01-01 00:45:00,0,0,0,0,109.627,,
2024-01-01 01:00:00,0,0,0,0,112.631,,
2024-01-01 01:15:00,0,0,0,0,115.657,,
2024-01-01 01:30:00,0,0,0,0,118.703,,
2024-01-01 01:45:00,0,0,0,0,121.765,,
2024-01-01 02:00:00,0,0,0,0,124.841,,
2024-01-01 02:15:00,0,0,0,0,127.927,,
2024-01-01 02:30:00,0,0,0,0,131.021,,
2024-01-01 02:45:00,0,0,0,0,134.118,,
2024-01-01 03:00:00,0,0,0,0,137.215,,
2024-01-01 03:15:00,0,0,0,0,140.308,,
2024-01-01 03:30:00,0,0,0,0,143.39,,
2024-01-01 03:45:00,0,0,0,0,146.455,,
2024-01-01 04:00:00,0,0,0,0,149.492,,
2024-01-01 04:15:00,0,0,0,0,152.49,,
2024-01-01 04:30:00,0,0,0,0,155.429,,
2024-01-01 04:45:00,0,0,0,0,158.282,,
2024-01-01 05:00:00,0,0,0,0,161.006,,
2024-01-01 05:15:00,0,0,0,0,163.533,,
2024-01-01 05:30:00,0,0,0,0,165.755,,
2024-01-01 05:45:00,0,0,0,0,167.507,,
2024-01-01 06:00:00,0,0,0,0,168.566,,
2024-01-01 06:15:00,0,0,0,0,168.735,,
2024-01-01 06:30:00,0,0,0,0,167.976,,
2024-01-01 06:45:00,0,0,0,0,166.445,,
2024-01-01 07:00:00,0,0,0,0,164.368,,
2024-01-01 07:15:00,0,0,0,0,161.934,,
2024-01-01 07:30:00,0,0,0,0,159.271,,
2024-01-01 07:45:00,0,0,0,0,156.458,,
2024-01-01 08:00:00,0,0,0,0,153.546,,
2024-01-01 08:15:00,0,0,0,0,150.566,,
2024-01-01 08:30:00,0,0,0,0,147.541,,
2024-01-01 08:45:00,0,0,0,0,144.484,,
2024-01-01 09:00:00,0,0,0,0,141.407,,
2024-01-01 09:15:00,0,0,0,0,138.316,,
2024-01-01 09:30:00,0,0,0,0,135.219,,
2024-01-01 09:45:00,0,0,0,0,132.121,,
2024-01-01 10:00:00,0,0,0,0,129.025,,
2024-01-01 10:15:00,0,0,0,0,125.935,,
2024-01-01 10:30:00,0,0,0,0,122.854,,
2024-01-01 10:45:00,0,0,0,0,119.785,,
2024-01-01 11:00:00,0,0,0,0,116.732,,
2024-01-01 11:15:00,0,0,0,0,113.698,,
2024-01-01 11:30:00,0,0,0,0,110.685,,
2024-01-01 11:45:00,0,0,0,0,107.696,,
2024-01-01 12:00:00,0,0,0,0,104.735,,
2024-01-01 12:15:00,0,0,0,0,101.805,,
2024-01-01 12:30:00,0,0,0,0,98.909,,
2024-01-01 12:45:00,0,0,0,0,96.053,,
2024-01-01 13:00:00,0,0,0,0,93.24,,
2024-01-01 13:15:00,0,0,0,0,90.475,,
2024-01-01 13:30:00,18,131,37,324,87.762,27,176
2024-01-01 13:45:00,57,456,74,466,85.109,53,253
2024-01-01 14:00:00,95,568,116,568,82.52,84,309
2024-01-01 14:15:00,134,647,161,646,80.003,130,622
2024-01-01 14:30:00,174,708,206,706,77.565,169,680
2024-01-01 14:45:00,206,749,251,755,75.215,209,729
2024-01-01 15:00:00,294,794,294,794,72.961,238,758
2024-01-01 15:15:00,336,825,336,825,70.812,327,794
2024-01-01 15:30:00,330,749,375,851,68.779,364,819
2024-01-01 15:45:00,250,273,412,873,66.873,356,744
2024-01-01 16:00:00,338,299,446,891,65.106,276,296
2024-01-01 16:15:00,538,597,477,906,63.488,360,320
2024-01-01 16:30:00,548,721,504,918,62.032,548,596
2024-01-01 16:45:00,579,855,528,929,60.751,555,711
2024-01-01 17:00:00,549,801,548,937,59.654,580,833
2024-01-01 17:15:00,574,884,564,944,58.754,549,783
2024-01-01 17:30:00,591,943,576,948,58.058,569,857
2024-01-01 17:45:00,603,945,585,959,57.575,582,918
2024-01-01 18:00:00,572,809,589,960,57.31,589,911
2024-01-01 18:15:00,511,732,589,960,57.265,557,785
2024-01-01 18:30:00,575,909,585,959,57.443,499,714
2024-01-01 18:45:00,571,942,578,957,57.84,553,875
2024-01-01 19:00:00,559,941,566,953,58.452,544,903
2024-01-01 19:15:00,543,938,550,947,59.272,528,900
2024-01-01 19:30:00,522,929,530,939,60.292,509,895
2024-01-01 19:45:00,498,922,506,931,61.501,485,887
2024-01-01 20:00:00,470,915,479,919,62.889,459,876
2024-01-01 20:15:00,437,901,449,905,64.443,429,867
2024-01-01 20:30:00,401,885,415,887,66.153,393,850
2024-01-01 20:45:00,361,863,377,846,68.005,355,812
2024-01-01 21:00:00,322,841,339,826,69.989,317,810
2024-01-01 21:15:00,299,798,299,798,72.093,277,781
2024-01-01 21:30:00,255,759,255,759,74.306,248,730
2024-01-01 21:45:00,210,714,210,714,76.62,204,687
2024-01-01 22:00:00,165,654,165,654,79.024,160,629
2024-01-01 22:15:00,120,578,120,578,81.51,117,556
2024-01-01 22:30:00,77,477,77,477,84.071,75,459
2024-01-01 22:45:00,28,182,39,345,86.7,38,332
