timestamp,measured_GHI,measured_DNI,clear-sky_GHI,clear-sky_DNI,zenith_angle,pred_GHI_comb,pred_DNI_comb
2024-01-01 00:00:00,0,0,0,0,92.089,,
2024-01-01 00:15:00,0,0,0,0,94.627,,
2024-01-01 00:30:00,0,0,0,0,97.218,,
2024-01-01 00:45:00,0,0,0,0,99.855,,
2024-01-01 01:00:00,0,0,0,0,102.533,,
2024-01-01 01:15:00,0,0,0,0,105.249,,
2024-01-01 01:30:00,0,0,0,0,107.998,,
2024-01-01 01:45:00,0,0,0,0,110.775,,
2024-01-01 02:00:00,0,0,0,0,113.577,,
2024-01-01 02:15:00,0,0,0,0,116.4,,
2024-01-01 02:30:00,0,0,0,0,119.24,,
2024-01-01 02:45:00,0,0,0,0,122.093,,
2024-01-01 03:00:00,0,0,0,0,124.954,,
2024-01-01 03:15:00,0,0,0,0,127.819,,
2024-01-01 03:30:00,0,0,0,0,130.684,,
2024-01-01 03:45:00,0,0,0,0,133.542,,
2024-01-01 04:00:00,0,0,0,0,136.388,,
2024-01-01 04:15:00,0,0,0,0,139.213,,
2024-01-01 04:30:00,0,0,0,0,142.008,,
2024-01-01 04:45:00,0,0,0,0,144.762,,
2024-01-01 05:00:00,0,0,0,0,147.459,,
2024-01-01 05:15:00,0,0,0,0,150.081,,
2024-01-01 05:30:00,0,0,0,0,152.601,,
2024-01-01 05:45:00,0,0,0,0,154.985,,
2024-01-01 06:00:00,0,0,0,0,157.187,,
2024-01-01 06:15:00,0,0,0,0,159.145,,
2024-01-01 06:30:00,0,0,0,0,160.782,,
2024-01-01 06:45:00,0,0,0,0,162.009,,
2024-01-01 07:00:00,0,0,0,0,162.735,,
2024-01-01 07:15:00,0,0,0,0,162.897,,
2024-01-01 07:30:00,0,0,0,0,162.477,,
2024-01-01 07:45:00,0,0,0,0,161.517,,
2024-01-01 08:00:00,0,0,0,0,160.095,,
2024-01-01 08:15:00,0,0,0,0,158.303,,
2024-01-01 08:30:00,0,0,0,0,156.227,,
2024-01-01 08:45:00,0,0,0,0,153.937,,
2024-01-01 09:00:00,0,0,0,0,151.487,,
2024-01-01 09:15:00,0,0,0,0,148.918,,
2024-01-01 09:30:00,0,0,0,0,146.259,,
2024-01-01 09:45:00,0,0,0,0,143.533,,
2024-01-01 10:00:00,0,0,0,0,140.759,,
2024-01-01 10:15:00,0,0,0,0,137.948,,
2024-01-01 10:30:00,0,0,0,0,135.112,,
2024-01-01 10:45:00,0,0,0,0,132.259,,
2024-01-01 11:00:00,0,0,0,0,129.397,,
2024-01-01 11:15:00,0,0,0,0,126.53,,
2024-01-01 11:30:00,0,0,0,0,123.665,,
2024-01-01 11:45:00,0,0,0,0,120.806,,
2024-01-01 12:00:00,0,0,0,0,117.958,,
2024-01-01 12:15:00,0,0,0,0,115.124,,
2024-01-01 12:30:00,0,0,0,0,112.308,,
2024-01-01 12:45:00,0,0,0,0,109.515,,
2024-01-01 13:00:00,0,0,0,0,106.749,,
2024-01-01 13:15:00,0,0,0,0,104.013,,
2024-01-01 13:30:00,0,0,0,0,101.311,,
2024-01-01 13:45:00,0,0,0,0,98.649,,
2024-01-01 14:00:00,0,0,0,0,96.03,,
2024-01-01 14:15:00,0,0,0,0,93.461,,
2024-01-01 14:30:00,0,0,0,0,90.945,,
2024-01-01 14:45:00,13,327,28,346,88.488,21,193
2024-01-01 15:00:00,49,488,59,486,86.097,44,271
2024-01-01 15:15:00,86,604,96,589,83.778,72,328
2024-01-01 15:30:00,125,690,135,665,81.538,118,654
2024-01-01 15:45:00,162,754,174,724,79.385,157,720
2024-01-01 16:00:00,202,804,212,771,77.326,192,769
2024-01-01 16:15:00,240,842,250,807,75.37,232,806
2024-01-01 16:30:00,277,873,285,837,73.524,266,836
2024-01-01 16:45:00,313,895,319,860,71.8,301,859
2024-01-01 17:00:00,346,915,350,880,70.205,333,877
2024-01-01 17:15:00,375,931,378,897,68.75,362,893
2024-01-01 17:30:00,402,944,403,911,67.443,387,906
2024-01-01 17:45:00,426,953,424,931,66.294,409,924
2024-01-01 18:00:00,447,963,443,939,65.311,431,922
2024-01-01 18:15:00,463,968,458,946,64.503,447,930
2024-01-01 18:30:00,472,947,469,951,63.875,458,933
2024-01-01 18:45:00,395,721,477,954,63.434,464,912
2024-01-01 19:00:00,399,712,481,956,63.184,393,705
2024-01-01 19:15:00,488,889,482,957,63.126,395,696
2024-01-01 19:30:00,527,865,478,955,63.262,468,855
2024-01-01 19:45:00,418,608,472,951,63.59,499,831
2024-01-01 20:00:00,458,811,461,946,64.107,400,598
2024-01-01 20:15:00,446,876,447,940,64.808,430,780
2024-01-01 20:30:00,452,932,430,932,65.688,415,837
2024-01-01 20:45:00,384,713,409,916,66.739,414,879
2024-01-01 21:00:00,243,301,385,903,67.953,352,685
2024-01-01 21:15:00,177,88,358,888,69.321,231,314
2024-01-01 21:30:00,135,1,327,868,70.834,172,122
2024-01-01 21:45:00,128,1,295,843,72.482,134,43
2024-01-01 22:00:00,154,119,259,815,74.256,123,42
2024-01-01 22:15:00,275,616,222,780,76.147,136,143
2024-01-01 22:30:00,279,737,184,736,78.146,216,566
2024-01-01 22:45:00,184,494,145,675,80.244,206,649
2024-01-01 23:00:00,65,7,105,603,82.434,126,432
2024-01-01 23:15:00,30,0,68,508,84.706,43,31
2024-01-01 23:30:00,20,0,35,377,87.055,17,19
2024-01-01 23:45:00,10,0,6,88,89.473,4,49
2024-01-02 00:00:00,0,0,0,0,91.954,,
2024-01-02 00:15:00,0,0,0,0,94.493,,
2024-01-02 00:30:00,0,0,0,0,97.083,,
2024-01-02 00:45:00,0,0,0,0,99.719,,
2024-01-02 01:00:00,0,0,0,0,102.398,,
2024-01-02 01:15:00,0,0,0,0,105.114,,
2024-01-02 01:30:00,0,0,0,0,107.862,,
2024-01-02 01:45:00,0,0,0,0,110.64,,
2024-01-02 02:00:00,0,0,0,0,113.442,,
2024-01-02 02:15:00,0,0,0,0,116.265,,
2024-01-02 02:30:00,0,0,0,0,119.104,,
2024-01-02 02:45:00,0,0,0,0,121.957,,
2024-01-02 03:00:00,0,0,0,0,124.818,,
2024-01-02 03:15:00,0,0,0,0,127.684,,
2024-01-02 03:30:00,0,0,0,0,130.548,,
2024-01-02 03:45:00,0,0,0,0,133.406,,
2024-01-02 04:00:00,0,0,0,0,136.252,,
2024-01-02 04:15:00,0,0,0,0,139.077,,
2024-01-02 04:30:00,0,0,0,0,141.872,,
2024-01-02 04:45:00,0,0,0,0,144.626,,
2024-01-02 05:00:00,0,0,0,0,147.324,,
2024-01-02 05:15:00,0,0,0,0,149.946,,
2024-01-02 05:30:00,0,0,0,0,152.466,,
2024-01-02 05:45:00,0,0,0,0,154.852,,
2024-01-02 06:00:00,0,0,0,0,157.055,,
2024-01-02 06:15:00,0,0,0,0,159.018,,
2024-01-02 06:30:00,0,0,0,0,160.662,,
2024-01-02 06:45:00,0,0,0,0,161.898,,
2024-01-02 07:00:00,0,0,0,0,162.639,,
2024-01-02 07:15:00,0,0,0,0,162.818,,
2024-01-02 07:30:00,0,0,0,0,162.418,,
2024-01-02 07:45:00,0,0,0,0,161.477,,
2024-01-02 08:00:00,0,0,0,0,160.072,,
2024-01-02 08:15:00,0,0,0,0,158.295,,
2024-01-02 08:30:00,0,0,0,0,156.232,,
2024-01-02 08:45:00,0,0,0,0,153.951,,
2024-01-02 09:00:00,0,0,0,0,151.509,,
2024-01-02 09:15:00,0,0,0,0,148.945,,
2024-01-02 09:30:00,0,0,0,0,146.291,,
2024-01-02 09:45:00,0,0,0,0,143.569,,
2024-01-02 10:00:00,0,0,0,0,140.797,,
2024-01-02 10:15:00,0,0,0,0,137.989,,
2024-01-02 10:30:00,0,0,0,0,135.154,,
2024-01-02 10:45:00,0,0,0,0,132.302,,
2024-01-02 11:00:00,0,0,0,0,129.44,,
2024-01-02 11:15:00,0,0,0,0,126.573,,
2024-01-02 11:30:00,0,0,0,0,123.708,,
2024-01-02 11:45:00,0,0,0,0,120.848,,
2024-01-02 12:00:00,0,0,0,0,117.999,,
2024-01-02 12:15:00,0,0,0,0,115.164,,
2024-01-02 12:30:00,0,0,0,0,112.347,,
2024-01-02 12:45:00,0,0,0,0,109.552,,
2024-01-02 13:00:00,0,0,0,0,106.784,,
2024-01-02 13:15:00,0,0,0,0,104.046,,
2024-01-02 13:30:00,0,0,0,0,101.342,,
2024-01-02 13:45:00,0,0,0,0,98.677,,
2024-01-02 14:00:00,0,0,0,0,96.056,,
2024-01-02 14:15:00,0,0,0,0,93.483,,
2024-01-02 14:30:00,0,0,0,0,90.963,,
2024-01-02 14:45:00,14,247,27,338,88.503,20,188
2024-01-02 15:00:00,48,454,59,480,86.109,44,267
2024-01-02 15:15:00,85,578,96,584,83.786,72,325
2024-01-02 15:30:00,122,667,135,662,81.541,117,629
2024-01-02 15:45:00,161,737,174,724,79.383,154,700
2024-01-02 16:00:00,201,787,215,778,77.319,194,760
2024-01-02 16:15:00,240,828,253,815,75.358,230,791
2024-01-02 16:30:00,277,860,289,845,73.507,267,823
2024-01-02 16:45:00,313,886,323,870,71.777,301,849
2024-01-02 17:00:00,345,907,354,891,70.176,333,870
2024-01-02 17:15:00,375,925,383,907,68.714,362,885
2024-01-02 17:30:00,402,940,408,921,67.401,387,901
2024-01-02 17:45:00,425,952,430,937,66.245,411,917
2024-01-02 18:00:00,445,961,449,946,65.256,430,922
2024-01-02 18:15:00,461,969,464,953,64.441,445,929
2024-01-02 18:30:00,474,974,476,958,63.807,458,934
2024-01-02 18:45:00,482,977,484,961,63.359,467,937
2024-01-02 19:00:00,486,978,488,963,63.102,470,939
2024-01-02 19:15:00,487,978,489,964,63.038,471,939
2024-01-02 19:30:00,485,976,486,962,63.168,469,936
2024-01-02 19:45:00,477,971,479,961,63.49,463,935
2024-01-02 20:00:00,466,964,468,956,64.002,451,927
2024-01-02 20:15:00,450,956,454,950,64.699,438,919
2024-01-02 20:30:00,431,945,436,942,65.574,419,910
2024-01-02 20:45:00,408,933,415,929,66.621,397,894
2024-01-02 21:00:00,383,920,391,916,67.831,373,883
2024-01-02 21:15:00,354,903,364,901,69.196,346,868
2024-01-02 21:30:00,322,881,333,882,70.707,314,848
2024-01-02 21:45:00,287,856,301,862,72.353,283,827
2024-01-02 22:00:00,268,840,268,840,74.125,248,801
2024-01-02 22:15:00,212,782,230,806,76.014,223,774
2024-01-02 22:30:00,173,731,191,763,78.012,172,712
2024-01-02 22:45:00,134,668,151,706,80.109,134,651
2024-01-02 23:00:00,111,635,111,635,82.297,97,578
2024-01-02 23:15:00,72,542,72,542,84.569,70,520
2024-01-02 23:30:00,23,199,37,413,86.917,36,396
2024-01-02 23:45:00,9,0,6,100,89.335,4,56
2024-01-03 00:00:00,0,0,0,0,91.816,,
2024-01-03 00:15:00,0,0,0,0,94.354,,
2024-01-03 00:30:00,0,0,0,0,96.944,,
2024-01-03 00:45:00,0,0,0,0,99.58,,
2024-01-03 01:00:00,0,0,0,0,102.259,,
2024-01-03 01:15:00,0,0,0,0,104.974,,
2024-01-03 01:30:00,0,0,0,0,107.723,,
2024-01-03 01:45:00,0,0,0,0,110.5,,
2024-01-03 02:00:00,0,0,0,0,113.303,,
2024-01-03 02:15:00,0,0,0,0,116.126,,
2024-01-03 02:30:00,0,0,0,0,118.965,,
2024-01-03 02:45:00,0,0,0,0,121.818,,
2024-01-03 03:00:00,0,0,0,0,124.679,,
2024-01-03 03:15:00,0,0,0,0,127.545,,
2024-01-03 03:30:00,0,0,0,0,130.409,,
2024-01-03 03:45:00,0,0,0,0,133.267,,
2024-01-03 04:00:00,0,0,0,0,136.113,,
2024-01-03 04:15:00,0,0,0,0,138.937,,
2024-01-03 04:30:00,0,0,0,0,141.733,,
2024-01-03 04:45:00,0,0,0,0,144.486,,
2024-01-03 05:00:00,0,0,0,0,147.184,,
2024-01-03 05:15:00,0,0,0,0,149.806,,
2024-01-03 05:30:00,0,0,0,0,152.327,,
2024-01-03 05:45:00,0,0,0,0,154.713,,
2024-01-03 06:00:00,0,0,0,0,156.919,,
2024-01-03 06:15:00,0,0,0,0,158.885,,
2024-01-03 06:30:00,0,0,0,0,160.535,,
2024-01-03 06:45:00,0,0,0,0,161.781,,
2024-01-03 07:00:00,0,0,0,0,162.534,,
2024-01-03 07:15:00,0,0,0,0,162.73,,
2024-01-03 07:30:00,0,0,0,0,162.35,,
2024-01-03 07:45:00,0,0,0,0,161.428,,
2024-01-03 08:00:00,0,0,0,0,160.041,,
2024-01-03 08:15:00,0,0,0,0,158.28,,
2024-01-03 08:30:00,0,0,0,0,156.229,,
2024-01-03 08:45:00,0,0,0,0,153.958,,
2024-01-03 09:00:00,0,0,0,0,151.524,,
2024-01-03 09:15:00,0,0,0,0,148.966,,
2024-01-03 09:30:00,0,0,0,0,146.317,,
2024-01-03 09:45:00,0,0,0,0,143.599,,
2024-01-03 10:00:00,0,0,0,0,140.83,,
2024-01-03 10:15:00,0,0,0,0,138.023,,
2024-01-03 10:30:00,0,0,0,0,135.19,,
2024-01-03 10:45:00,0,0,0,0,132.339,,
2024-01-03 11:00:00,0,0,0,0,129.477,,
2024-01-03 11:15:00,0,0,0,0,126.611,,
2024-01-03 11:30:00,0,0,0,0,123.745,,
2024-01-03 11:45:00,0,0,0,0,120.885,,
2024-01-03 12:00:00,0,0,0,0,118.035,,
2024-01-03 12:15:00,0,0,0,0,115.198,,
2024-01-03 12:30:00,0,0,0,0,112.38,,
2024-01-03 12:45:00,0,0,0,0,109.584,,
2024-01-03 13:00:00,0,0,0,0,106.813,,
2024-01-03 13:15:00,0,0,0,0,104.073,,
2024-01-03 13:30:00,0,0,0,0,101.367,,
2024-01-03 13:45:00,0,0,0,0,98.699,,
2024-01-03 14:00:00,0,0,0,0,96.075,,
2024-01-03 14:15:00,0,0,0,0,93.499,,
2024-01-03 14:30:00,0,0,0,0,90.976,,
2024-01-03 14:45:00,30,291,30,416,88.512,22,232
2024-01-03 15:00:00,56,476,63,558,86.114,47,311
2024-01-03 15:15:00,88,603,102,658,83.787,76,367
2024-01-03 15:30:00,126,687,143,733,81.538,121,648
2024-01-03 15:45:00,164,756,184,787,79.375,159,711
2024-01-03 16:00:00,204,804,225,831,77.306,196,768
2024-01-03 16:15:00,243,842,264,867,75.339,234,807
2024-01-03 16:30:00,281,870,300,896,73.483,269,837
2024-01-03 16:45:00,317,895,335,917,71.746,306,856
2024-01-03 17:00:00,351,919,367,936,70.14,338,878
2024-01-03 17:15:00,382,939,396,952,68.671,368,898
2024-01-03 17:30:00,408,952,422,965,67.352,395,914
2024-01-03 17:45:00,431,960,441,971,66.189,414,920
2024-01-03 18:00:00,450,966,458,976,65.193,434,927
2024-01-03 18:15:00,466,971,474,982,64.371,451,933
2024-01-03 18:30:00,479,979,486,987,63.731,463,937
2024-01-03 18:45:00,489,985,495,989,63.276,473,942
2024-01-03 19:00:00,495,988,499,991,63.013,478,948
2024-01-03 19:15:00,495,985,500,991,62.943,480,949
2024-01-03 19:30:00,491,978,497,990,63.067,477,945
2024-01-03 19:45:00,485,977,490,986,63.384,469,936
2024-01-03 20:00:00,473,967,480,982,63.891,460,934
2024-01-03 20:15:00,456,949,466,976,64.582,445,923
2024-01-03 20:30:00,438,932,448,968,65.454,425,905
2024-01-03 20:45:00,419,906,427,951,66.497,405,881
2024-01-03 21:00:00,392,847,403,939,67.704,383,861
2024-01-03 21:15:00,278,522,375,923,69.066,354,804
2024-01-03 21:30:00,278,530,344,905,70.573,255,511
2024-01-03 21:45:00,269,523,310,877,72.217,248,511
2024-01-03 22:00:00,207,371,274,849,73.988,234,503
2024-01-03 22:15:00,174,343,234,804,75.876,176,360
2024-01-03 22:30:00,135,233,194,761,77.872,144,334
2024-01-03 22:45:00,102,145,154,699,79.968,108,230
2024-01-03 23:00:00,59,3,113,628,82.156,76,150
2024-01-03 23:15:00,46,32,74,534,84.427,41,29
2024-01-03 23:30:00,23,7,39,405,86.774,25,42
2024-01-03 23:45:00,7,0,7,94,89.192,5,52
2024-01-04 00:00:00,0,0,0,0,91.673,,
2024-01-04 00:15:00,0,0,0,0,94.211,,
2024-01-04 00:30:00,0,0,0,0,96.8,,
2024-01-04 00:45:00,0,0,0,0,99.437,,
2024-01-04 01:00:00,0,0,0,0,102.116,,
2024-01-04 01:15:00,0,0,0,0,104.831,,
2024-01-04 01:30:00,0,0,0,0,107.58,,
2024-01-04 01:45:00,0,0,0,0,110.358,,
2024-01-04 02:00:00,0,0,0,0,113.16,,
2024-01-04 02:15:00,0,0,0,0,115.983,,
2024-01-04 02:30:00,0,0,0,0,118.823,,
2024-01-04 02:45:00,0,0,0,0,121.676,,
2024-01-04 03:00:00,0,0,0,0,124.537,,
2024-01-04 03:15:00,0,0,0,0,127.403,,
2024-01-04 03:30:00,0,0,0,0,130.267,,
2024-01-04 03:45:00,0,0,0,0,133.125,,
2024-01-04 04:00:00,0,0,0,0,135.97,,
2024-01-04 04:15:00,0,0,0,0,138.795,,
2024-01-04 04:30:00,0,0,0,0,141.589,,
2024-01-04 04:45:00,0,0,0,0,144.343,,
2024-01-04 05:00:00,0,0,0,0,147.04,,
2024-01-04 05:15:00,0,0,0,0,149.662,,
