timestamp,measured_GHI,measured_DNI,clear-sky_GHI,clear-sky_DNI,zenith_angle,pred_GHI_xgboost_direct,pred_DNI_xgboost_direct,pred_GHI_xgboost_csky,pred_DNI_xgboost_csky
2024-01-01 00:00:00,45,0,89.0,492.0,83.079,51,0,49,7
2024-01-01 00:15:00,24,0,51.0,364.0,85.561,38,32,28,24
2024-01-01 00:30:00,10,0,17.0,157.0,88.112,33,34,9,11
2024-01-01 00:45:00,0,0,0.0,0.0,90.724,,,,
2024-01-01 01:00:00,0,0,0.0,0.0,93.392,,,,
2024-01-01 01:15:00,0,0,0.0,0.0,96.111,,,,
2024-01-01 01:30:00,0,0,0.0,0.0,98.875,,,,
2024-01-01 01:45:00,0,0,0.0,0.0,101.679,,,,
2024-01-01 02:00:00,0,0,0.0,0.0,104.521,,,,
2024-01-01 02:15:00,0,0,0.0,0.0,107.395,,,,
2024-01-01 02:30:00,0,0,0.0,0.0,110.298,,,,
2024-01-01 02:45:00,0,0,0.0,0.0,113.226,,,,
2024-01-01 03:00:00,0,0,0.0,0.0,116.177,,,,
2024-01-01 03:15:00,0,0,0.0,0.0,119.145,,,,
2024-01-01 03:30:00,0,0,0.0,0.0,122.129,,,,
2024-01-01 03:45:00,0,0,0.0,0.0,125.125,,,,
2024-01-01 04:00:00,0,0,0.0,0.0,128.128,,,,
2024-01-01 04:15:00,0,0,0.0,0.0,131.135,,,,
2024-01-01 04:30:00,0,0,0.0,0.0,134.143,,,,
2024-01-01 04:45:00,0,0,0.0,0.0,137.145,,,,
2024-01-01 05:00:00,0,0,0.0,0.0,140.136,,,,
2024-01-01 05:15:00,0,0,0.0,0.0,143.108,,,,
2024-01-01 05:30:00,0,0,0.0,0.0,146.052,,,,
2024-01-01 05:45:00,0,0,0.0,0.0,148.957,,,,
2024-01-01 06:00:00,0,0,0.0,0.0,151.805,,,,
2024-01-01 06:15:00,0,0,0.0,0.0,154.573,,,,
2024-01-01 06:30:00,0,0,0.0,0.0,157.23,,,,
2024-01-01 06:45:00,0,0,0.0,0.0,159.726,,,,
2024-01-01 07:00:00,0,0,0.0,0.0,161.991,,,,
2024-01-01 07:15:00,0,0,0.0,0.0,163.926,,,,
2024-01-01 07:30:00,0,0,0.0,0.0,165.395,,,,
2024-01-01 07:45:00,0,0,0.0,0.0,166.247,,,,
2024-01-01 08:00:00,0,0,0.0,0.0,166.364,,,,
2024-01-01 08:15:00,0,0,0.0,0.0,165.728,,,,
2024-01-01 08:30:00,0,0,0.0,0.0,164.432,,,,
2024-01-01 08:45:00,0,0,0.0,0.0,162.624,,,,
2024-01-01 09:00:00,0,0,0.0,0.0,160.447,,,,
2024-01-01 09:15:00,0,0,0.0,0.0,158.012,,,,
2024-01-01 09:30:00,0,0,0.0,0.0,155.399,,,,
2024-01-01 09:45:00,0,0,0.0,0.0,152.66,,,,
2024-01-01 10:00:00,0,0,0.0,0.0,149.833,,,,
2024-01-01 10:15:00,0,0,0.0,0.0,146.944,,,,
2024-01-01 10:30:00,0,0,0.0,0.0,144.01,,,,
2024-01-01 10:45:00,0,0,0.0,0.0,141.044,,,,
2024-01-01 11:00:00,0,0,0.0,0.0,138.057,,,,
2024-01-01 11:15:00,0,0,0.0,0.0,135.057,,,,
2024-01-01 11:30:00,0,0,0.0,0.0,132.05,,,,
2024-01-01 11:45:00,0,0,0.0,0.0,129.042,,,,
2024-01-01 12:00:00,0,0,0.0,0.0,126.036,,,,
2024-01-01 12:15:00,0,0,0.0,0.0,123.037,,,,
2024-01-01 12:30:00,0,0,0.0,0.0,120.048,,,,
2024-01-01 12:45:00,0,0,0.0,0.0,117.073,,,,
2024-01-01 13:00:00,0,0,0.0,0.0,114.116,,,,
2024-01-01 13:15:00,0,0,0.0,0.0,111.179,,,,
2024-01-01 13:30:00,0,0,0.0,0.0,108.266,,,,
2024-01-01 13:45:00,0,0,0.0,0.0,105.382,,,,
2024-01-01 14:00:00,0,0,0.0,0.0,102.528,,,,
2024-01-01 14:15:00,0,0,0.0,0.0,99.71,,,,
2024-01-01 14:30:00,0,0,0.0,0.0,96.931,,,,
2024-01-01 14:45:00,0,0,0.0,0.0,94.196,,,,
2024-01-01 15:00:00,0,0,0.0,0.0,91.51,,,,
2024-01-01 15:15:00,9,60,22.0,249.0,88.878,33,49,4,25
2024-01-01 15:30:00,33,358,53.0,403.0,86.306,33,189,32,192
2024-01-01 15:45:00,8,0,92.0,522.0,83.8,74,456,74,386
2024-01-01 16:00:00,95,413,133.0,608.0,81.366,36,248,35,222
2024-01-01 16:15:00,175,673,175.0,673.0,79.012,129,489,131,547
2024-01-01 16:30:00,188,733,217.0,724.0,76.746,209,681,198,683
2024-01-01 16:45:00,259,769,259.0,769.0,74.576,235,763,231,767
2024-01-01 17:00:00,298,802,298.0,802.0,72.511,292,775,281,776
2024-01-01 17:15:00,313,844,337.0,834.0,70.562,326,802,323,825
2024-01-01 17:30:00,347,868,372.0,857.0,68.738,351,846,345,860
2024-01-01 17:45:00,379,890,405.0,887.0,67.05,375,869,380,885
2024-01-01 18:00:00,410,905,434.0,901.0,65.508,413,886,408,881
2024-01-01 18:15:00,438,920,460.0,914.0,64.124,435,886,436,907
2024-01-01 18:30:00,464,935,483.0,924.0,62.908,454,858,458,926
2024-01-01 18:45:00,487,945,502.0,932.0,61.87,469,879,478,937
2024-01-01 19:00:00,507,951,517.0,939.0,61.019,467,882,499,930
2024-01-01 19:15:00,528,955,529.0,943.0,60.365,495,848,513,932
2024-01-01 19:30:00,548,958,537.0,946.0,59.912,510,863,524,935
2024-01-01 19:45:00,570,960,541.0,949.0,59.666,530,859,507,938
2024-01-01 20:00:00,585,935,541.0,949.0,59.63,538,859,522,946
2024-01-01 20:15:00,550,815,537.0,948.0,59.803,538,850,521,905
2024-01-01 20:30:00,361,406,530.0,945.0,60.184,503,748,492,713
2024-01-01 20:45:00,487,674,517.0,926.0,60.769,394,357,390,401
2024-01-01 21:00:00,462,632,501.0,919.0,61.552,443,571,452,620
2024-01-01 21:15:00,490,705,482.0,911.0,62.526,417,456,433,551
2024-01-01 21:30:00,324,337,460.0,901.0,63.681,432,598,413,622
2024-01-01 21:45:00,392,567,434.0,890.0,65.008,348,222,316,321
2024-01-01 22:00:00,410,815,405.0,874.0,66.496,362,454,351,418
2024-01-01 22:15:00,355,815,372.0,855.0,68.135,356,674,319,663
2024-01-01 22:30:00,327,819,337.0,833.0,69.913,330,725,315,761
2024-01-01 22:45:00,301,810,301.0,810.0,71.82,301,724,290,733
2024-01-01 23:00:00,262,779,262.0,779.0,73.846,245,737,255,752
2024-01-01 23:15:00,205,769,220.0,738.0,75.98,208,695,214,724
2024-01-01 23:30:00,165,724,178.0,686.0,78.214,161,675,165,619
2024-01-01 23:45:00,135,620,135.0,620.0,80.538,123,648,123,579
2024-01-02 00:00:00,87,573,93.0,535.0,82.945,92,439,90,517
2024-01-02 00:15:00,52,456,55.0,419.0,85.427,63,319,51,385
2024-01-02 00:30:00,19,278,23.0,259.0,87.977,39,178,21,239
2024-01-02 00:45:00,0,0,0.0,0.0,90.589,,,,
2024-01-02 01:00:00,0,0,0.0,0.0,93.257,,,,
2024-01-02 01:15:00,0,0,0.0,0.0,95.975,,,,
2024-01-02 01:30:00,0,0,0.0,0.0,98.739,,,,
2024-01-02 01:45:00,0,0,0.0,0.0,101.544,,,,
2024-01-02 02:00:00,0,0,0.0,0.0,104.386,,,,
2024-01-02 02:15:00,0,0,0.0,0.0,107.26,,,,
2024-01-02 02:30:00,0,0,0.0,0.0,110.163,,,,
2024-01-02 02:45:00,0,0,0.0,0.0,113.091,,,,
2024-01-02 03:00:00,0,0,0.0,0.0,116.042,,,,
2024-01-02 03:15:00,0,0,0.0,0.0,119.01,,,,
2024-01-02 03:30:00,0,0,0.0,0.0,121.994,,,,
2024-01-02 03:45:00,0,0,0.0,0.0,124.99,,,,
2024-01-02 04:00:00,0,0,0.0,0.0,127.993,,,,
2024-01-02 04:15:00,0,0,0.0,0.0,131.001,,,,
2024-01-02 04:30:00,0,0,0.0,0.0,134.008,,,,
2024-01-02 04:45:00,0,0,0.0,0.0,137.01,,,,
2024-01-02 05:00:00,0,0,0.0,0.0,140.001,,,,
2024-01-02 05:15:00,0,0,0.0,0.0,142.973,,,,
2024-01-02 05:30:00,0,0,0.0,0.0,145.917,,,,
2024-01-02 05:45:00,0,0,0.0,0.0,148.821,,,,
2024-01-02 06:00:00,0,0,0.0,0.0,151.669,,,,
2024-01-02 06:15:00,0,0,0.0,0.0,154.437,,,,
2024-01-02 06:30:00,0,0,0.0,0.0,157.094,,,,
2024-01-02 06:45:00,0,0,0.0,0.0,159.591,,,,
2024-01-02 07:00:00,0,0,0.0,0.0,161.859,,,,
2024-01-02 07:15:00,0,0,0.0,0.0,163.8,,,,
2024-01-02 07:30:00,0,0,0.0,0.0,165.28,,,,
2024-01-02 07:45:00,0,0,0.0,0.0,166.149,,,,
2024-01-02 08:00:00,0,0,0.0,0.0,166.289,,,,
2024-01-02 08:15:00,0,0,0.0,0.0,165.679,,,,
2024-01-02 08:30:00,0,0,0.0,0.0,164.407,,,,
2024-01-02 08:45:00,0,0,0.0,0.0,162.619,,,,
2024-01-02 09:00:00,0,0,0.0,0.0,160.457,,,,
2024-01-02 09:15:00,0,0,0.0,0.0,158.035,,,,
2024-01-02 09:30:00,0,0,0.0,0.0,155.43,,,,
2024-01-02 09:45:00,0,0,0.0,0.0,152.698,,,,
2024-01-02 10:00:00,0,0,0.0,0.0,149.876,,,,
2024-01-02 10:15:00,0,0,0.0,0.0,146.99,,,,
2024-01-02 10:30:00,0,0,0.0,0.0,144.058,,,,
2024-01-02 10:45:00,0,0,0.0,0.0,141.095,,,,
2024-01-02 11:00:00,0,0,0.0,0.0,138.109,,,,
2024-01-02 11:15:00,0,0,0.0,0.0,135.11,,,,
2024-01-02 11:30:00,0,0,0.0,0.0,132.103,,,,
2024-01-02 11:45:00,0,0,0.0,0.0,129.095,,,,
2024-01-02 12:00:00,0,0,0.0,0.0,126.088,,,,
2024-01-02 12:15:00,0,0,0.0,0.0,123.088,,,,
2024-01-02 12:30:00,0,0,0.0,0.0,120.099,,,,
2024-01-02 12:45:00,0,0,0.0,0.0,117.123,,,,
2024-01-02 13:00:00,0,0,0.0,0.0,114.164,,,,
2024-01-02 13:15:00,0,0,0.0,0.0,111.226,,,,
2024-01-02 13:30:00,0,0,0.0,0.0,108.311,,,,
2024-01-02 13:45:00,0,0,0.0,0.0,105.424,,,,
2024-01-02 14:00:00,0,0,0.0,0.0,102.569,,,,
2024-01-02 14:15:00,0,0,0.0,0.0,99.748,,,,
2024-01-02 14:30:00,0,0,0.0,0.0,96.966,,,,
2024-01-02 14:45:00,0,0,0.0,0.0,94.229,,,,
2024-01-02 15:00:00,0,0,0.0,0.0,91.539,,,,
2024-01-02 15:15:00,9,180,24.0,325.0,88.904,33,49,4,32
2024-01-02 15:30:00,32,422,57.0,480.0,86.328,33,293,31,294
2024-01-02 15:45:00,64,14,97.0,590.0,83.817,75,492,67,453
2024-01-02 16:00:00,106,242,140.0,672.0,81.379,91,248,103,339
2024-01-02 16:15:00,183,735,183.0,735.0,79.02,146,365,146,339
2024-01-02 16:30:00,196,790,226.0,784.0,76.749,207,776,203,696
2024-01-02 16:45:00,267,816,267.0,816.0,74.574,248,779,244,793
2024-01-02 17:00:00,306,845,306.0,845.0,72.504,292,792,289,823
2024-01-02 17:15:00,333,896,344.0,871.0,70.549,326,846,330,861
2024-01-02 17:30:00,360,883,380.0,893.0,68.719,359,884,366,851
2024-01-02 17:45:00,398,835,413.0,911.0,67.024,389,878,389,888
2024-01-02 18:00:00,349,580,442.0,925.0,65.476,425,809,426,792
2024-01-02 18:15:00,415,755,469.0,938.0,64.085,391,550,396,578
2024-01-02 18:30:00,464,861,492.0,947.0,62.861,434,657,444,731
2024-01-02 18:45:00,468,820,511.0,952.0,61.816,471,838,471,757
2024-01-02 19:00:00,475,813,527.0,959.0,60.959,468,762,477,720
2024-01-02 19:15:00,539,986,538.0,961.0,60.297,469,712,463,755
2024-01-02 19:30:00,548,989,544.0,960.0,59.837,514,868,507,800
2024-01-02 19:45:00,510,699,548.0,960.0,59.584,528,926,531,845
2024-01-02 20:00:00,502,336,548.0,961.0,59.541,491,470,509,493
2024-01-02 20:15:00,618,656,544.0,959.0,59.708,481,356,492,359
2024-01-02 20:30:00,427,305,537.0,956.0,60.083,550,610,507,619
2024-01-02 20:45:00,349,32,524.0,939.0,60.662,429,301,360,296
2024-01-02 21:00:00,358,31,509.0,932.0,61.441,396,76,384,150
2024-01-02 21:15:00,383,74,490.0,924.0,62.41,394,100,355,90
2024-01-02 21:30:00,394,233,467.0,914.0,63.561,389,143,360,134
2024-01-02 21:45:00,400,364,441.0,895.0,64.884,388,284,370,317
2024-01-02 22:00:00,337,304,411.0,880.0,66.369,365,362,364,312
2024-01-02 22:15:00,314,431,377.0,856.0,68.005,337,271,291,296
2024-01-02 22:30:00,369,748,342.0,833.0,69.781,314,390,267,390
2024-01-02 22:45:00,257,415,303.0,798.0,71.687,310,616,279,574
2024-01-02 23:00:00,168,90,263.0,764.0,73.711,224,294,186,379
2024-01-02 23:15:00,142,96,222.0,722.0,75.844,149,154,156,182
2024-01-02 23:30:00,115,24,180.0,670.0,78.076,123,160,121,163
2024-01-02 23:45:00,73,0,136.0,593.0,80.4,95,46,90,64
2024-01-03 00:00:00,36,0,94.0,506.0,82.806,61,4,51,13
2024-01-03 00:15:00,21,0,56.0,389.0,85.288,34,45,25,29
2024-01-03 00:30:00,14,4,24.0,230.0,87.838,32,31,10,17
2024-01-03 00:45:00,0,0,0.0,0.0,90.45,,,,
2024-01-03 01:00:00,0,0,0.0,0.0,93.118,,,,
2024-01-03 01:15:00,0,0,0.0,0.0,95.836,,,,
2024-01-03 01:30:00,0,0,0.0,0.0,98.6,,,,
2024-01-03 01:45:00,0,0,0.0,0.0,101.405,,,,
2024-01-03 02:00:00,0,0,0.0,0.0,104.247,,,,
2024-01-03 02:15:00,0,0,0.0,0.0,107.121,,,,
2024-01-03 02:30:00,0,0,0.0,0.0,110.025,,,,
2024-01-03 02:45:00,0,0,0.0,0.0,112.953,,,,
2024-01-03 03:00:00,0,0,0.0,0.0,115.904,,,,
2024-01-03 03:15:00,0,0,0.0,0.0,118.873,,,,
2024-01-03 03:30:00,0,0,0.0,0.0,121.857,,,,
