timestamp,measured_GHI,measured_DNI,modeled_GHI,modeled_DNI,zenith_angle,clear-sky_GHI,clear-sky_DNI
2023-01-01 00:00:00,0,0,0,0,103.83,0,0
2023-01-01 00:15:00,0,0,0,0,106.565,0,0
2023-01-01 00:30:00,0,0,0,0,109.331,0,0
2023-01-01 00:45:00,0,0,0,0,112.124,0,0
2023-01-01 01:00:00,0,0,0,0,114.94,0,0
2023-01-01 01:15:00,0,0,0,0,117.774,0,0
2023-01-01 01:30:00,0,0,0,0,120.624,0,0
2023-01-01 01:45:00,0,0,0,0,123.484,0,0
2023-01-01 02:00:00,0,0,0,0,126.351,0,0
2023-01-01 02:15:00,0,0,0,0,129.22,0,0
2023-01-01 02:30:00,0,0,0,0,132.085,0,0
2023-01-01 02:45:00,0,0,0,0,134.941,0,0
2023-01-01 03:00:00,0,0,0,0,137.781,0,0
2023-01-01 03:15:00,0,0,0,0,140.597,0,0
2023-01-01 03:30:00,0,0,0,0,143.377,0,0
2023-01-01 03:45:00,0,0,0,0,146.11,0,0
2023-01-01 04:00:00,0,0,0,0,148.777,0,0
2023-01-01 04:15:00,0,0,0,0,151.357,0,0
2023-01-01 04:30:00,0,0,0,0,153.821,0,0
2023-01-01 04:45:00,0,0,0,0,156.127,0,0
2023-01-01 05:00:00,0,0,0,0,158.224,0,0
2023-01-01 05:15:00,0,0,0,0,160.041,0,0
2023-01-01 05:30:00,0,0,0,0,161.493,0,0
2023-01-01 05:45:00,0,0,0,0,162.488,0,0
2023-01-01 06:00:00,0,0,0,0,162.945,0,0
2023-01-01 06:15:00,0,0,0,0,162.819,0,0
2023-01-01 06:30:00,0,0,0,0,162.123,0,0
2023-01-01 06:45:00,0,0,0,0,160.92,0,0
2023-01-01 07:00:00,0,0,0,0,159.299,0,0
2023-01-01 07:15:00,0,0,0,0,157.353,0,0
2023-01-01 07:30:00,0,0,0,0,155.158,0,0
2023-01-01 07:45:00,0,0,0,0,152.778,0,0
2023-01-01 08:00:00,0,0,0,0,150.26,0,0
2023-01-01 08:15:00,0,0,0,0,147.639,0,0
2023-01-01 08:30:00,0,0,0,0,144.941,0,0
2023-01-01 08:45:00,0,0,0,0,142.185,0,0
2023-01-01 09:00:00,0,0,0,0,139.388,0,0
2023-01-01 09:15:00,0,0,0,0,136.56,0,0
2023-01-01 09:30:00,0,0,0,0,133.711,0,0
2023-01-01 09:45:00,0,0,0,0,130.85,0,0
2023-01-01 10:00:00,0,0,0,0,127.981,0,0
2023-01-01 10:15:00,0,0,0,0,125.112,0,0
2023-01-01 10:30:00,0,0,0,0,122.246,0,0
2023-01-01 10:45:00,0,0,0,0,119.389,0,0
2023-01-01 11:00:00,0,0,0,0,116.544,0,0
2023-01-01 11:15:00,0,0,0,0,113.716,0,0
2023-01-01 11:30:00,0,0,0,0,110.908,0,0
2023-01-01 11:45:00,0,0,0,0,108.125,0,0
2023-01-01 12:00:00,0,0,0,0,105.37,0,0
2023-01-01 12:15:00,0,0,0,0,102.647,0,0
2023-01-01 12:30:00,0,0,0,0,99.962,0,0
2023-01-01 12:45:00,0,0,0,0,97.317,0,0
2023-01-01 13:00:00,0,0,0,0,94.719,0,0
2023-01-01 13:15:00,0,0,0,0,92.172,0,0
2023-01-01 13:30:00,2,0,3,0,89.682,11,70
2023-01-01 13:45:00,14,0,7,0,87.254,36,226
2023-01-01 14:00:00,17,0,21,0,84.894,67,342
2023-01-01 14:15:00,24,0,49,1,82.61,101,432
2023-01-01 14:30:00,27,0,137,504,80.409,137,504
2023-01-01 14:45:00,43,0,125,373,78.298,174,569
2023-01-01 15:00:00,72,0,14,0,76.285,209,616
2023-01-01 15:15:00,60,0,37,0,74.38,244,655
2023-01-01 15:30:00,78,0,28,0,72.59,276,687
2023-01-01 15:45:00,97,0,132,42,70.925,308,718
2023-01-01 16:00:00,119,0,105,11,69.395,336,740
2023-01-01 16:15:00,160,1,172,255,68.009,361,758
2023-01-01 16:30:00,150,0,207,258,66.776,382,770
2023-01-01 16:45:00,208,1,89,1,65.706,402,785
2023-01-01 17:00:00,187,0,156,9,64.806,418,794
2023-01-01 17:15:00,204,1,338,339,64.084,431,802
2023-01-01 17:30:00,158,1,312,240,63.547,440,807
