timestamp,measured_GHI,measured_DNI,modeled_GHI,modeled_DNI,zenith_angle,clear-sky_GHI,clear-sky_DNI
2023-01-01 00:00:00,0,0,0,0,96.053,0,0
2023-01-01 00:15:00,0,0,0,0,98.277,0,0
2023-01-01 00:30:00,0,0,0,0,100.549,0,0
2023-01-01 00:45:00,0,0,0,0,102.867,0,0
2023-01-01 01:00:00,0,0,0,0,105.223,0,0
2023-01-01 01:15:00,0,0,0,0,107.614,0,0
2023-01-01 01:30:00,0,0,0,0,110.034,0,0
2023-01-01 01:45:00,0,0,0,0,112.479,0,0
2023-01-01 02:00:00,0,0,0,0,114.944,0,0
2023-01-01 02:15:00,0,0,0,0,117.423,0,0
2023-01-01 02:30:00,0,0,0,0,119.912,0,0
2023-01-01 02:45:00,0,0,0,0,122.404,0,0
2023-01-01 03:00:00,0,0,0,0,124.895,0,0
2023-01-01 03:15:00,0,0,0,0,127.377,0,0
2023-01-01 03:30:00,0,0,0,0,129.843,0,0
2023-01-01 03:45:00,0,0,0,0,132.286,0,0
2023-01-01 04:00:00,0,0,0,0,134.696,0,0
2023-01-01 04:15:00,0,0,0,0,137.063,0,0
2023-01-01 04:30:00,0,0,0,0,139.374,0,0
2023-01-01 04:45:00,0,0,0,0,141.615,0,0
2023-01-01 05:00:00,0,0,0,0,143.768,0,0
2023-01-01 05:15:00,0,0,0,0,145.812,0,0
2023-01-01 05:30:00,0,0,0,0,147.723,0,0
2023-01-01 05:45:00,0,0,0,0,149.473,0,0
2023-01-01 06:00:00,0,0,0,0,151.03,0,0
2023-01-01 06:15:00,0,0,0,0,152.357,0,0
2023-01-01 06:30:00,0,0,0,0,153.418,0,0
2023-01-01 06:45:00,0,0,0,0,154.179,0,0
2023-01-01 07:00:00,0,0,0,0,154.612,0,0
2023-01-01 07:15:00,0,0,0,0,154.698,0,0
2023-01-01 07:30:00,0,0,0,0,154.435,0,0
2023-01-01 07:45:00,0,0,0,0,153.833,0,0
2023-01-01 08:00:00,0,0,0,0,152.916,0,0
2023-01-01 08:15:00,0,0,0,0,151.715,0,0
2023-01-01 08:30:00,0,0,0,0,150.267,0,0
2023-01-01 08:45:00,0,0,0,0,148.608,0,0
2023-01-01 09:00:00,0,0,0,0,146.772,0,0
2023-01-01 09:15:00,0,0,0,0,144.79,0,0
2023-01-01 09:30:00,0,0,0,0,142.688,0,0
2023-01-01 09:45:00,0,0,0,0,140.487,0,0
2023-01-01 10:00:00,0,0,0,0,138.208,0,0
2023-01-01 10:15:00,0,0,0,0,135.867,0,0
2023-01-01 10:30:00,0,0,0,0,133.476,0,0
2023-01-01 10:45:00,0,0,0,0,131.047,0,0
2023-01-01 11:00:00,0,0,0,0,128.59,0,0
2023-01-01 11:15:00,0,0,0,0,126.114,0,0
2023-01-01 11:30:00,0,0,0,0,123.625,0,0
2023-01-01 11:45:00,0,0,0,0,121.132,0,0
2023-01-01 12:00:00,0,0,0,0,118.64,0,0
2023-01-01 12:15:00,0,0,0,0,116.154,0,0
2023-01-01 12:30:00,0,0,0,0,113.68,0,0
2023-01-01 12:45:00,0,0,0,0,111.223,0,0
2023-01-01 13:00:00,0,0,0,0,108.789,0,0
2023-01-01 13:15:00,0,0,0,0,106.381,0,0
2023-01-01 13:30:00,0,0,0,0,104.005,0,0
2023-01-01 13:45:00,0,0,0,0,101.666,0,0
2023-01-01 14:00:00,0,0,0,0,99.368,0,0
2023-01-01 14:15:00,0,0,0,0,97.118,0,0
2023-01-01 14:30:00,0,0,0,0,94.92,0,0
2023-01-01 14:45:00,0,0,0,0,92.779,0,0
2023-01-01 15:00:00,0,0,0,0,90.702,0,0
2023-01-01 15:15:00,26,244,26,369,88.695,26,369
2023-01-01 15:30:00,50,394,50,482,86.763,50,482
2023-01-01 15:45:00,63,498,63,387,84.913,78,568
2023-01-01 16:00:00,85,576,85,423,83.151,108,635
2023-01-01 16:15:00,102,638,102,239,81.485,137,688
2023-01-01 16:30:00,143,684,143,323,79.921,166,730
2023-01-01 16:45:00,193,661,193,767,78.467,193,767
2023-01-01 17:00:00,219,755,219,794,77.128,219,794
