timestamp,measured_GHI,measured_DNI,modeled_GHI,modeled_DNI,zenith_angle,clear-sky_GHI,clear-sky_DNI
2023-01-01 00:00:00,0,0,0,0,111.668,0,0
2023-01-01 00:15:00,0,0,0,0,114.454,0,0
2023-01-01 00:30:00,0,0,0,0,117.26,0,0
2023-01-01 00:45:00,0,0,0,0,120.081,0,0
2023-01-01 01:00:00,0,0,0,0,122.912,0,0
2023-01-01 01:15:00,0,0,0,0,125.751,0,0
2023-01-01 01:30:00,0,0,0,0,128.591,0,0
2023-01-01 01:45:00,0,0,0,0,131.428,0,0
2023-01-01 02:00:00,0,0,0,0,134.256,0,0
2023-01-01 02:15:00,0,0,0,0,137.067,0,0
2023-01-01 02:30:00,0,0,0,0,139.854,0,0
2023-01-01 02:45:00,0,0,0,0,142.606,0,0
2023-01-01 03:00:00,0,0,0,0,145.31,0,0
2023-01-01 03:15:00,0,0,0,0,147.949,0,0
2023-01-01 03:30:00,0,0,0,0,150.503,0,0
2023-01-01 03:45:00,0,0,0,0,152.943,0,0
2023-01-01 04:00:00,0,0,0,0,155.232,0,0
2023-01-01 04:15:00,0,0,0,0,157.319,0,0
2023-01-01 04:30:00,0,0,0,0,159.143,0,0
2023-01-01 04:45:00,0,0,0,0,160.625,0,0
2023-01-01 05:00:00,0,0,0,0,161.681,0,0
2023-01-01 05:15:00,0,0,0,0,162.233,0,0
2023-01-01 05:30:00,0,0,0,0,162.233,0,0
2023-01-01 05:45:00,0,0,0,0,161.681,0,0
2023-01-01 06:00:00,0,0,0,0,160.625,0,0
2023-01-01 06:15:00,0,0,0,0,159.142,0,0
2023-01-01 06:30:00,0,0,0,0,157.318,0,0
2023-01-01 06:45:00,0,0,0,0,155.23,0,0
2023-01-01 07:00:00,0,0,0,0,152.941,0,0
2023-01-01 07:15:00,0,0,0,0,150.501,0,0
2023-01-01 07:30:00,0,0,0,0,147.946,0,0
2023-01-01 07:45:00,0,0,0,0,145.306,0,0
2023-01-01 08:00:00,0,0,0,0,142.602,0,0
2023-01-01 08:15:00,0,0,0,0,139.849,0,0
2023-01-01 08:30:00,0,0,0,0,137.062,0,0
2023-01-01 08:45:00,0,0,0,0,134.25,0,0
2023-01-01 09:00:00,0,0,0,0,131.421,0,0
2023-01-01 09:15:00,0,0,0,0,128.583,0,0
2023-01-01 09:30:00,0,0,0,0,125.742,0,0
2023-01-01 09:45:00,0,0,0,0,122.902,0,0
2023-01-01 10:00:00,0,0,0,0,120.069,0,0
2023-01-01 10:15:00,0,0,0,0,117.248,0,0
2023-01-01 10:30:00,0,0,0,0,114.441,0,0
2023-01-01 10:45:00,0,0,0,0,111.653,0,0
2023-01-01 11:00:00,0,0,0,0,108.889,0,0
2023-01-01 11:15:00,0,0,0,0,106.153,0,0
2023-01-01 11:30:00,0,0,0,0,103.447,0,0
2023-01-01 11:45:00,0,0,0,0,100.778,0,0
2023-01-01 12:00:00,0,0,0,0,98.149,0,0
2023-01-01 12:15:00,0,0,0,0,95.564,0,0
2023-01-01 12:30:00,0,0,0,0,93.03,0,0
2023-01-01 12:45:00,0,0,0,0,90.551,0,0
2023-01-01 13:00:00,12,0,30,279,88.134,30,279
2023-01-01 13:15:00,29,0,60,407,85.784,60,407
2023-01-01 13:30:00,49,4,95,505,83.507,95,505
2023-01-01 13:45:00,111,189,132,585,81.312,132,585
2023-01-01 14:00:00,169,262,169,645,79.205,169,645
2023-01-01 14:15:00,106,58,206,692,77.194,206,692
2023-01-01 14:30:00,99,10,241,731,75.288,241,731
2023-01-01 14:45:00,128,288,276,771,73.495,276,771
2023-01-01 15:00:00,308,657,308,800,71.824,308,800
2023-01-01 15:15:00,338,760,338,821,70.285,338,821
2023-01-01 15:30:00,364,802,364,838,68.887,364,838
2023-01-01 15:45:00,388,823,388,854,67.638,388,854
2023-01-01 16:00:00,408,833,408,866,66.548,408,866
2023-01-01 16:15:00,411,854,425,875,65.625,425,875
2023-01-01 16:30:00,284,288,303,157,64.876,439,882
2023-01-01 16:45:00,227,1,240,29,64.307,449,890
2023-01-01 17:00:00,224,0,220,20,63.924,456,893
2023-01-01 17:15:00,209,18,307,161,63.73,459,895
2023-01-01 17:30:00,450,786,415,644,63.725,459,894
2023-01-01 17:45:00,389,595,337,279,63.912,455,894
2023-01-01 18:00:00,240,198,348,407,64.287,445,886
2023-01-01 18:15:00,168,26,294,242,64.848,434,881
2023-01-01 18:30:00,251,161,270,168,65.589,419,873
2023-01-01 18:45:00,214,77,206,44,66.505,399,853
2023-01-01 19:00:00,318,393,378,841,67.588,378,841
2023-01-01 19:15:00,329,790,329,635,68.83,354,826
2023-01-01 19:30:00,326,805,326,806,70.222,326,806
2023-01-01 19:45:00,296,726,296,783,71.755,296,783
2023-01-01 20:00:00,93,28,76,3,73.42,264,757
2023-01-01 20:15:00,67,0,44,0,75.208,230,724
2023-01-01 20:30:00,47,0,13,0,77.11,194,684
2023-01-01 20:45:00,31,0,10,0,79.116,157,628
2023-01-01 21:00:00,29,0,13,0,81.219,120,565
2023-01-01 21:15:00,15,0,18,0,83.411,84,484
2023-01-01 21:30:00,9,0,5,0,85.684,50,379
2023-01-01 21:45:00,5,0,4,0,88.031,22,212
2023-01-01 22:00:00,0,0,0,0,90.446,0,0
2023-01-01 22:15:00,0,0,0,0,92.922,0,0
2023-01-01 22:30:00,0,0,0,0,95.454,0,0
2023-01-01 22:45:00,0,0,0,0,98.036,0,0
2023-01-01 23:00:00,0,0,0,0,100.663,0,0
2023-01-01 23:15:00,0,0,0,0,103.331,0,0
2023-01-01 23:30:00,0,0,0,0,106.034,0,0
2023-01-01 23:45:00,0,0,0,0,108.77,0,0
2023-01-02 00:00:00,0,0,0,0,111.532,0,0
2023-01-02 00:15:00,0,0,0,0,114.318,0,0
2023-01-02 00:30:00,0,0,0,0,117.124,0,0
2023-01-02 00:45:00,0,0,0,0,119.944,0,0
2023-01-02 01:00:00,0,0,0,0,122.776,0,0
2023-01-02 01:15:00,0,0,0,0,125.615,0,0
2023-01-02 01:30:00,0,0,0,0,128.455,0,0
2023-01-02 01:45:00,0,0,0,0,131.292,0,0
2023-01-02 02:00:00,0,0,0,0,134.12,0,0
2023-01-02 02:15:00,0,0,0,0,136.931,0,0
2023-01-02 02:30:00,0,0,0,0,139.718,0,0
2023-01-02 02:45:00,0,0,0,0,142.469,0,0
2023-01-02 03:00:00,0,0,0,0,145.173,0,0
2023-01-02 03:15:00,0,0,0,0,147.813,0,0
2023-01-02 03:30:00,0,0,0,0,150.367,0,0
2023-01-02 03:45:00,0,0,0,0,152.808,0,0
2023-01-02 04:00:00,0,0,0,0,155.098,0,0
2023-01-02 04:15:00,0,0,0,0,157.189,0,0
2023-01-02 04:30:00,0,0,0,0,159.017,0,0
2023-01-02 04:45:00,0,0,0,0,160.507,0,0
2023-01-02 05:00:00,0,0,0,0,161.574,0,0
2023-01-02 05:15:00,0,0,0,0,162.14,0,0
2023-01-02 05:30:00,0,0,0,0,162.157,0,0
2023-01-02 05:45:00,0,0,0,0,161.624,0,0
2023-01-02 06:00:00,0,0,0,0,160.586,0,0
2023-01-02 06:15:00,0,0,0,0,159.12,0,0
2023-01-02 06:30:00,0,0,0,0,157.31,0,0
2023-01-02 06:45:00,0,0,0,0,155.233,0,0
2023-01-02 07:00:00,0,0,0,0,152.953,0,0
2023-01-02 07:15:00,0,0,0,0,150.52,0,0
2023-01-02 07:30:00,0,0,0,0,147.972,0,0
2023-01-02 07:45:00,0,0,0,0,145.336,0,0
2023-01-02 08:00:00,0,0,0,0,142.635,0,0
2023-01-02 08:15:00,0,0,0,0,139.885,0,0
2023-01-02 08:30:00,0,0,0,0,137.1,0,0
2023-01-02 08:45:00,0,0,0,0,134.289,0,0
2023-01-02 09:00:00,0,0,0,0,131.461,0,0
2023-01-02 09:15:00,0,0,0,0,128.623,0,0
2023-01-02 09:30:00,0,0,0,0,125.782,0,0
2023-01-02 09:45:00,0,0,0,0,122.942,0,0
2023-01-02 10:00:00,0,0,0,0,120.109,0,0
2023-01-02 10:15:00,0,0,0,0,117.286,0,0
2023-01-02 10:30:00,0,0,0,0,114.478,0,0
2023-01-02 10:45:00,0,0,0,0,111.689,0,0
2023-01-02 11:00:00,0,0,0,0,108.923,0,0
2023-01-02 11:15:00,0,0,0,0,106.185,0,0
2023-01-02 11:30:00,0,0,0,0,103.477,0,0
2023-01-02 11:45:00,0,0,0,0,100.805,0,0
2023-01-02 12:00:00,0,0,0,0,98.173,0,0
2023-01-02 12:15:00,0,0,0,0,95.586,0,0
2023-01-02 12:30:00,0,0,0,0,93.049,0,0
2023-01-02 12:45:00,0,0,0,0,90.567,0,0
2023-01-02 13:00:00,1,0,6,0,88.146,26,155
2023-01-02 13:15:00,5,0,9,0,85.792,54,271
2023-01-02 13:30:00,11,0,15,0,83.511,86,368
2023-01-02 13:45:00,15,0,49,1,81.311,121,459
2023-01-02 14:00:00,23,0,132,349,79.199,157,522
2023-01-02 14:15:00,36,0,49,0,77.183,192,574
2023-01-02 14:30:00,40,0,26,0,75.272,227,616
2023-01-02 14:45:00,44,0,19,0,73.473,261,665
2023-01-02 15:00:00,51,0,22,0,71.797,290,691
2023-01-02 15:15:00,72,0,104,3,70.252,319,714
2023-01-02 15:30:00,91,0,79,0,68.847,344,734
2023-01-02 15:45:00,66,0,82,1,67.593,365,732
2023-01-02 16:00:00,69,0,118,1,66.496,384,743
2023-01-02 16:15:00,51,0,51,0,65.566,400,754
2023-01-02 16:30:00,42,0,77,0,64.811,414,762
2023-01-02 16:45:00,50,0,45,0,64.235,418,731
2023-01-02 17:00:00,49,0,48,0,63.846,424,735
2023-01-02 17:15:00,41,0,56,0,63.645,427,737
2023-01-02 17:30:00,37,0,39,0,63.635,426,734
2023-01-02 17:45:00,43,0,42,0,63.815,414,674
2023-01-02 18:00:00,54,0,62,0,64.185,406,669
2023-01-02 18:15:00,52,0,43,0,64.741,396,661
2023-01-02 18:30:00,28,0,30,0,65.478,381,649
2023-01-02 18:45:00,14,1,69,0,66.389,358,587
2023-01-02 19:00:00,18,0,18,0,67.469,338,571
