timestamp,measured_GHI,measured_DNI,modeled_GHI,modeled_DNI,zenith_angle,clear-sky_GHI,clear-sky_DNI
2023-01-01 00:00:00,0,0,0,0,99.393,0,0
2023-01-01 00:15:00,0,0,0,0,101.907,0,0
2023-01-01 00:30:00,0,0,0,0,104.461,0,0
2023-01-01 00:45:00,0,0,0,0,107.05,0,0
2023-01-01 01:00:00,0,0,0,0,109.67,0,0
2023-01-01 01:15:00,0,0,0,0,112.316,0,0
2023-01-01 01:30:00,0,0,0,0,114.983,0,0
2023-01-01 01:45:00,0,0,0,0,117.668,0,0
2023-01-01 02:00:00,0,0,0,0,120.365,0,0
2023-01-01 02:15:00,0,0,0,0,123.07,0,0
2023-01-01 02:30:00,0,0,0,0,125.778,0,0
2023-01-01 02:45:00,0,0,0,0,128.483,0,0
2023-01-01 03:00:00,0,0,0,0,131.179,0,0
2023-01-01 03:15:00,0,0,0,0,133.859,0,0
2023-01-01 03:30:00,0,0,0,0,136.515,0,0
2023-01-01 03:45:00,0,0,0,0,139.137,0,0
2023-01-01 04:00:00,0,0,0,0,141.713,0,0
2023-01-01 04:15:00,0,0,0,0,144.228,0,0
2023-01-01 04:30:00,0,0,0,0,146.665,0,0
2023-01-01 04:45:00,0,0,0,0,149.002,0,0
2023-01-01 05:00:00,0,0,0,0,151.208,0,0
2023-01-01 05:15:00,0,0,0,0,153.25,0,0
2023-01-01 05:30:00,0,0,0,0,155.083,0,0
2023-01-01 05:45:00,0,0,0,0,156.655,0,0
2023-01-01 06:00:00,0,0,0,0,157.907,0,0
2023-01-01 06:15:00,0,0,0,0,158.782,0,0
2023-01-01 06:30:00,0,0,0,0,159.231,0,0
2023-01-01 06:45:00,0,0,0,0,159.224,0,0
2023-01-01 07:00:00,0,0,0,0,158.763,0,0
2023-01-01 07:15:00,0,0,0,0,157.876,0,0
2023-01-01 07:30:00,0,0,0,0,156.614,0,0
2023-01-01 07:45:00,0,0,0,0,155.033,0,0
2023-01-01 08:00:00,0,0,0,0,153.194,0,0
2023-01-01 08:15:00,0,0,0,0,151.146,0,0
2023-01-01 08:30:00,0,0,0,0,148.935,0,0
2023-01-01 08:45:00,0,0,0,0,146.595,0,0
2023-01-01 09:00:00,0,0,0,0,144.155,0,0
2023-01-01 09:15:00,0,0,0,0,141.637,0,0
2023-01-01 09:30:00,0,0,0,0,139.059,0,0
2023-01-01 09:45:00,0,0,0,0,136.435,0,0
2023-01-01 10:00:00,0,0,0,0,133.778,0,0
